Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
168,1633.511,1,0,0,1,0,0,0,47.5,0,1,6,0,0,0,0,18,0,0,0,0,50,0,6,1,2,1,0,266,5,3,1,0,0,0,1,0,0,1,0,11,3,0,22,3,6,0,0,0,3,8,0,0,0,30,0,0,7,0,0,0,0,7,11,0,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,557.5,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,11,4,8,20,4,0,0,668,85432
172,1678.016,0,0,0,1,0,0,0,32,0,1,17,0,0,0,0,10,0,0,0,0,29,0,0,3,0,2,0,303,2,4,0,0,0,0,0,0,1,0,0,22,1,0,22,1,6,1,0,0,1,4,0,0,0,40,0,0,5,0,0,0,0,10,17,0,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,567,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,4,6,10,9,7,0,0,429,85432
176,1712.152,0,0,0,0.5,0,0,0,38.5,0,3,15,0,0,0,0,15,0,0,0,0,41,0,1,3,1,5,0,253,2,7,1,0,0,0,0,0,0,1,0,19,3,0,30,0,11,0,0,0,0,6,0,0,1,40,1,0,4,0,0,0,0,16,18,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,577,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,9,12,8,0,0,437,85432
184,1780.423,0,0,0,2,0,0,0,38,0,3,3,0,0,0,0,10,0,0,0,0,42,0,6,4,2,1,0,280,4,7,1,0,0,0,0,0,0,0,0,17,1,0,29,1,5,0,0,0,3,5,0,0,0,34,0,0,6,0,0,0,0,18,13,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,551,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,7,12,31,8,0,0,447,85432
188,1814.558,0,0,0,0,0,0,0,26.5,0,2,8,0,0,0,0,16,0,0,1,0,36,0,0,4,2,3,1,292,3,8,2,0,0,0,1,0,0,1,0,17,3,0,32,2,9,0,0,0,2,4,0,0,0,23,0,0,3,0,0,0,0,7,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,557.5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,3,9,14,8,0,0,393,85432
192,1848.693,0,0,0,0,0,0,0,38,0,1,9,0,0,0,0,15,0,0,0,0,37,0,0,1,0,4,2,262,4,5,2,0,0,0,0,0,0,2,0,22,0,0,32,2,6,0,0,0,3,5,0,0,0,49,0,0,2,0,0,0,0,12,10,0,0,4,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,564,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,7,3,5,14,8,0,0,392,85432
196,1882.829,0,0,0,1,0,0,0,35,0,4,5,0,0,0,0,19,0,0,0,2,38,0,1,3,2,2,0,271,3,5,2,0,0,0,0,0,0,0,0,19,0,0,29,1,8,2,0,0,2,7,0,0,0,32,1,0,6,0,0,0,0,18,22,0,0,1,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,17,0,0,597,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,6,3,14,26,14,0,0,439,85432
200,1916.964,0,0,0,1,0,0,0,32.5,0,2,7,0,0,0,0,15,0,0,0,0,43,0,4,5,0,1,1,296,3,6,2,0,0,0,1,0,0,0,0,20,1,0,28,0,12,0,0,0,1,2,0,0,0,18,0,0,3,0,0,0,0,13,12,0,0,3,0,0,2,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,558.5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,8,1,11,27,12,0,0,467,85432
216,2053.506,0,0,0,1,0,0,0,38,0,6,7,0,0,0,0,12,0,0,1,0,61,0,10,5,2,5,2,267,6,7,3,0,0,0,0,0,0,0,0,16,0,0,21,1,7,0,0,0,2,2,0,0,0,26,1,0,0,0,0,0,0,14,8,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,559,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,5,3,6,26,5,0,0,525,85432
232,2190.048,0,0,0,1,0,0,0,18.5,0,2,1,0,0,0,0,7,0,0,0,0,53,0,2,4,4,5,1,299,5,3,0,0,0,0,0,0,0,1,0,13,1,0,37,0,5,1,0,0,5,3,0,0,0,37,1,0,2,0,0,0,0,12,6,0,0,2,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,541.5,0,0,0,0,0,0,1,12,0,0,2,0,0,0,0,0,7,1,7,28,4,0,0,1039,85432
264,2546.998,0,0,0,0.5,0,0,0,25,0,2,3,0,0,0,0,9,0,0,0,0,44,0,6,5,0,1,0,291,2,0,0,0,0,0,1,0,0,0,0,16,3,0,45,0,1,2,0,0,2,1,0,0,0,40,0,0,3,0,0,0,0,17,5,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,539.5,0,0,0,0,0,0,6,7,0,1,1,0,0,0,0,0,4,0,6,20,8,0,0,518,85432
280,2730.086,0,0,0,0,0,0,0,24.5,0,3,2,0,0,0,0,7,0,0,0,0,37,0,1,4,0,2,2,298,5,6,1,0,0,0,0,0,0,2,0,15,2,0,45,1,1,0,0,0,1,3,0,0,1,41,0,0,2,0,0,0,0,15,4,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,542.5,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,8,3,8,12,4,0,0,601,85432
288,2821.63,4,0,2,0,0,0,0,21,0,1,3,2,1,0,0,13,0,2,0,0,41,0,0,7,1,3,1,263,6,5,1,1,0,0,0,0,0,0,0,11,3,0,58,0,3,0,0,0,0,9,0,0,2,33,0,0,1,0,0,0,0,12,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,536,0,0,0,0,0,2,2,3,0,0,1,0,0,0,0,4,1,3,1,3,0,0,0,301,85432
296,2913.174,1,0,0,0,0,0,0,23,0,2,0,0,0,0,0,16,0,0,0,0,45,0,0,3,2,4,1,283,6,5,1,0,0,0,0,0,0,0,0,15,3,0,53,1,1,1,0,0,0,2,0,0,0,37,0,0,2,0,0,0,0,10,3,0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,536,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,8,2,1,42,3,0,0,472,85432
304,3004.719,2,0,1,0,0,0,1,28,0,1,4,1,2,0,0,17,0,0,0,1,48,0,0,5,0,2,0,260,10,8,6,0,0,0,0,0,0,0,0,10,3,0,63,0,2,0,0,0,4,5,0,0,0,25,1,0,1,0,0,0,0,10,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,534,0,0,0,0,0,0,4,7,0,0,3,0,0,0,0,0,0,2,1,2,5,0,0,340,85432
312,3101.19,0,0,0,0,0,0,0,19.5,0,2,2,0,0,0,0,8,0,0,0,0,51,0,5,6,2,0,0,252,5,7,3,0,0,0,0,0,1,1,0,9,4,0,87,2,0,0,0,0,1,7,0,0,0,24,0,0,3,0,0,0,0,15,3,0,0,3,0,0,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,536.5,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,6,7,5,22,3,0,0,465,85432
320,3201.188,5,0,0,0,0,0,0,39,0,5,1,0,4,0,0,13,0,0,0,0,37,0,0,10,0,2,0,218,0,2,5,1,0,0,0,0,0,1,0,7,2,0,106,3,0,1,0,0,1,4,0,0,5,17,0,0,7,0,0,0,0,5,4,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,3,1,0,0,3,1,1,0,254,85432
328,3301.186,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,1,49,0,4,4,0,1,1,253,7,5,4,0,0,0,0,0,0,0,0,4,2,0,80,3,2,1,0,0,0,9,0,0,0,33,0,0,8,0,0,0,0,6,6,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,524,0,0,0,1,0,0,2,3,0,0,3,0,0,0,0,0,5,3,7,31,4,0,0,409,85432
336,3401.184,11,0,0,0,0,0,0,27,0,1,0,1,2,0,0,6,0,0,0,0,44,0,0,3,0,8,0,246,3,6,3,0,0,0,0,0,0,1,0,8,0,0,128,0,1,0,0,0,0,10,1,0,3,30,0,0,4,0,0,0,1,8,6,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,577,0,0,0,0,0,1,1,2,0,2,4,0,0,0,0,2,1,2,0,4,1,0,0,283,85432
340,3451.183,1,0,0,1,0,1,0,0,30,1,0,0,0,1,0,4,0,0,0,0,28,0,0,5,1,1,0,129,2,0,1,0,0,0,0,0,0,0,2,8,0,1,79,0,0,0,0,0,0,1,0,0,2,17,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,1,4,0,21,3,0,0,64,42716
344,3501.182,0,0,0,0,0,0,0,25,0,0,2,0,0,0,0,8,0,0,1,0,45,0,2,6,1,4,0,219,3,5,1,0,0,0,0,0,0,0,0,4,5,0,126,3,2,1,0,0,0,7,0,0,0,27,0,0,5,0,0,0,0,18,7,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,542,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,6,5,6,28,7,0,0,585,85432
352,3601.18,4,0,1,0,0,0,1,39,0,1,2,0,0,0,0,6,0,0,0,0,33,0,1,10,0,4,2,195,0,5,4,0,0,1,0,0,0,0,0,10,1,0,135,3,5,1,0,0,0,6,0,0,3,17,0,0,2,0,0,0,0,9,2,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,519,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,1,10,0,2,7,1,0,261,85432
356,3651.179,2,0,0,0,0,1,0,0,18,0,0,0,0,0,2,3,0,0,0,0,24,0,0,3,2,0,0,122,4,2,3,0,0,0,0,0,0,0,2,7,1,0,81,0,6,0,0,0,0,2,0,0,3,11,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,3,0,6,1,0,2,88,42716
360,3701.178,0,0,0,0.5,0,0,0,25.5,0,9,1,0,0,0,0,3,0,0,0,0,46,0,1,6,3,2,3,202,5,5,0,0,0,0,0,0,0,0,0,5,4,0,139,0,1,1,0,0,1,5,0,0,1,31,0,0,4,0,0,0,0,20,17,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,551,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,7,10,21,4,0,0,416,85432
364,3751.177,4,0,0,0,0,0,0,0,24,0,0,0,0,4,0,4,0,0,0,1,12,0,0,5,1,3,0,100,7,3,1,0,0,1,0,0,0,0,0,6,2,0,97,1,0,0,0,0,0,3,0,0,0,13,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,3,1,12,1,0,0,83,42716
368,3801.175,10,0,1,0,0,0,0,27,0,2,2,1,3,0,0,6,0,0,1,0,28,0,0,11,1,2,0,182,4,5,2,0,0,0,0,0,0,0,0,8,1,0,166,0,4,0,1,0,0,8,0,0,5,12,0,0,6,0,0,0,0,7,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,528,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,2,1,0,274,85432
372,3851.174,2,0,0,0,0,0,0,0,20,2,1,0,0,1,0,2,0,0,0,0,14,0,0,5,1,0,0,115,2,2,0,0,0,1,1,0,0,0,1,4,1,0,108,0,4,1,0,0,1,1,0,0,1,3,0,0,2,0,0,0,0,4,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,2,4,0,15,0,0,0,53,42716
376,3901.173,2,0,0,1,0,0,0,20,0,3,2,0,0,0,0,3.5,0,0,0,0,34,0,0,8,3,5,0,202,5,7,2,0,0,0,0,0,0,0,0,12,2,0,156,2,2,0,0,0,6,5,0,0,0,13,0,0,5,0,0,0,0,6,8,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,523.5,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,7,9,21,4,0,0,414,85432
380,3951.172,4,0,0,0,0,0,0,0,23,3,2,1,0,1,0,1,0,0,0,1,22,0,0,9,1,2,0,160,5,0,1,1,0,1,1,0,0,0,0,10,1,0,136,0,8,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,0,4,10,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,445,0,0,  ,0,0,0,1,0,0,0,0,0,0,0,0,12,2,2,0,23,0,0,0,75,42716
384,4001.171,5,0,0,0,0,1,0,31,0,0,1,1,3,0,0,5,0,1,0,0,33,0,1,10,0,7,0,193,4,11,0,0,0,0,0,0,0,0,0,8,4,0,158,0,3,0,0,0,5,5,2,0,3,9,0,0,6,0,0,0,0,3,7,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,532,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,4,0,4,1,5,1,1,0,242,85432
388,4051.17,1,0,0,1,0,0,0,0,22,0,0,0,0,1,1,2,0,0,0,0,17,0,0,6,2,3,0,104,3,2,1,2,0,0,0,0,0,0,0,7,1,0,90,0,3,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,4,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,303,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,1,19,1,0,0,67,42716
392,4101.169,2,0,0,0.5,0,0,0,18.5,0,6,2,0,0,0,0,4,0,0,0,0,44,0,0,12,2,5,1,224,7,8,1,0,0,0,0,0,1,1,0,7,3,0,113,2,3,0,0,0,0,4,0,0,0,28,0,0,2,0,0,0,0,6,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,518,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,3,4,15,3,0,0,373,85432
396,4151.168,4,0,0,0,0,0,0,0,21,0,0,0,0,0,1,1,0,0,0,0,14,0,0,5,1,1,0,114,7,0,3,0,0,2,0,0,0,0,0,8,2,0,91,0,2,0,0,0,1,1,0,1,0,10,0,0,10,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,2,0,0,63,42716
400,4201.167,3,0,0,0,0,0,0,32,0,1,1,0,1,0,0,0,0,0,1,0,39,0,0,9,1,8,0,194,4,6,2,0,0,0,1,0,0,0,0,13,2,0,150,0,5,0,0,0,1,3,0,0,2,17,0,0,8,0,0,0,0,1,8,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,522,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,2,1,0,3,0,2,0,291,85432
404,4245.326,4,0,0,0,0,0,0,0,20,0,1,0,0,1,1,1,0,0,0,0,24,0,0,4,3,2,0,101,1,2,3,0,0,2,0,0,0,0,0,8,0,0,107,0,4,0,0,0,0,1,0,0,3,6,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,311,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,0,12,1,0,0,61,42716
408,4289.295,3,0,1,0,0,0,1,24,0,2,5,0,0,0,0,2,0,0,1,0,43,0,2,12,2,2,0,183,1,7,5,0,0,0,0,0,0,1,0,10,1,0,149,2,1,0,0,0,3,3,0,0,2,34,0,0,4,0,0,0,0,2,2,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,2,0,0,249,85432
412,4333.265,5,0,0,0,0,0,0,0,27,0,3,2,0,1,0,3,0,0,0,0,19,0,0,7,2,0,0,104,2,1,1,0,0,0,0,0,0,0,0,3,1,0,124,0,1,1,0,0,1,1,0,1,2,9,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,20,1,0,3,63,42716
416,4377.234,8,0,1,0,0,1,0,28,0,3,4,1,6,0,0,4,1,0,1,0,40,0,0,8,1,2,0,217,3,3,1,1,0,1,1,0,0,0,0,8,1,0,163,0,1,0,0,0,0,2,0,0,5,17,0,0,6,0,0,0,0,1,9,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,563,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,237,85432
420,4421.204,2,0,0,0,0,0,0,0,16,3,0,0,0,0,0,1,0,0,0,0,28,0,0,4,0,0,0,129,4,2,1,0,0,2,0,0,0,0,1,4,1,0,89,0,2,0,0,0,0,4,0,0,0,14,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,9,1,0,1,43,42716
424,4465.173,3,0,1,0,0,0,0,21,0,2,5,0,0,0,0,5,0,0,0,0,47,0,0,4,0,4,0,228,1,6,6,0,0,0,0,0,0,1,0,12,4,0,157,0,2,0,0,0,3,3,0,0,1,20,0,0,3,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,8,2,0,0,285,85432
428,4509.142,0,0,0,1,0,0,0,0,19,1,0,4,0,2,0,5,0,0,0,0,18,0,0,5,0,0,0,130,3,0,1,0,0,0,0,0,0,0,0,9,1,0,106,0,4,0,0,0,1,1,0,0,2,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,17,1,0,0,46,42716
