Depth (cm),Cal age,Pinus indet,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Taxus t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa/incana t.,A. crispa/viridis,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Tilia,Magnolia sp.,Ilex,Clethra,Salix,Populus,Ericaceae,Vitis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Cephalanthus,Platanus,Celtis,Rhamnus,Viburnum,Sambucus,Rhus sp..,Moraceae/Urtica,Poaceae,Artemisia,Ambrosia,Iva sp.,Rumex,Tubuliflorae,Liguliflorae,Secale,Zea mays,Triticum t.,Urtica,Plantago,Cheno Am,Iva ciliata t.,Potentilla t.,Rosaceae undiff,Thalictrum,Fabaceae,Ranunculus sp.,Geranium sp.,Impatiens,Liliaceae,Polygonum persicaria t.,P. aviculare t.,Apiaceae,Fagopyron,Paronychia t.,Cruciferae,Caryophyllaceae,Galium,Cyperaceae,Onagraceae,Oenotheraceae,Hernaria t. ,cf Hypericum,cf. Viola sagittata,Allium t.,Cornus racemosa t.,Ceanothus,Rubus Chamaemorus,Pteridium t.,Dryopteris t.,Osmunda spp.,Gymnocarpium t.,Asplenium t,Athyrium t.,Botrychium sp.,Trilete unk,Lycopodium lucidulum,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Pontederia ,Potamogeton,Brasenia,Sagittaria,Sparganium t.,Typha,Lemna  t.,Pinus stomta,Larix,Cupress stom t.,Tsuga stomata,Unknown conifer stomata,Non conifer ,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,PreQuaternary,Exotic count,Exotic spike
490,3595.176,8,,,1,,,,5,,,,,,,,,4,,125,36,,2,,39,32,6,4,3,8,,28,,1,1,1,,2,,1,1,,,,,,,,,,,1,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,1,14,3,,,,,,,,346,,,,,1,,,,,,,,,,,,,,,6,,,1,7,2,,57,42716
500,3691.936,18,,1,1,3,,1,8,,,,,,,1,,3,,128,49,2,4,,49,30,5,4,,3,,16,,2,4,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,8,5,,,,,,,,363,,,1,,,,,,,,,,,,,,,,,4,1,2,,24,,,66,42716
510,3795.719,19,,,,,1,4,9,,,,,,,,,1,,198,44,3,6,,22,20,5,11,3,3,,36,,2,4,,,,,2,,,,,,,,,,,,,3,,,1,,,,2,,,,,5,,,,,,,,1,,1,,,,,,,,,,,,,,,16,,,,,,,,,,3,15,5,,,,,,,,445,,,,,1,1,,,,,,,,,,,,,,2,1,3,,9,1,,63,42716
520,3899.004,8,,2,,,,7,9,,,,,,,1,,,,174,4,,1,,31,7,3,4,,,2,12,,1,1,,,,,,,,,,,,,,,3,,,2,,1,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,14,,,,,,,,,,4,16,2,,,,,,,,313,,,4,,1,1,,1,,,1,,,,,,,,,2,3,2,1,10,1,,57,42716
530,4001.791,17,,,,,5,2,,,,,,,,,,3,,211,45,1,1,,15,18,5,3,4,4,,16,,3,7,,1,,,,,,,,1,,,,,,,,1,,1,1,,,,,1,,1,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,15,7,,,,,,,,395,,,,,,1,,,,,,1,,,,,,,,,3,2,1,2,,,47,42716
540,4093.327,15,1,1,,3,,1,4,,1,,,1,,1,,,,170,19,,3,,20,14,4,6,1,3,1,16,,1,7,,,,,,1,,,,,1,1,,1,2,1,,2,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,11,,,,,,,1,,,,14,8,,,,,,,,341,,,,,,,,,,,,1,1,,,,,,,8,1,5,1,14,2,,65,42716
550,4178.164,18,,,,,3,4,6,,,,,,,,,4,,163,22,,2,,14,14,6,9,1,2,,37,,1,6,,,1,,,,,,,,6,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,14,3,,,,,,,,354,,,,,,2,,,1,,,,,,,,,,,7,2,,1,39,1,1,64,42716
560,4263.483,20,,1,,,2,1,4,,,,,,,,,4,,232,33,1,2,,17,19,7,6,4,4,,16,,2,5,1,1,1,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,1,8,4,,,,,,,,423,1,,,,2,1,1,,,,,3,1,,,2,,,,5,1,,,7,2,,56,42716
570,4349.093,14,,,,,,3,3,,,,,,,,,3,,164,59,1,0,,15,10,5,5,4,7,3,21,,1,3,,2,,,,,,,,,1,,,,1,,,3,,,,,,1,1,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,1,17,,,,,,,,,,2,7,4,,,,,1,,,368,,,,,,1,,,2,,1,,2,,,,,,,4,,,,5,,,58,42716
580,4432.296,11,,,1,,2,1,4,,,,,,,1,,2,,179,35,,1,,14,12,8,5,2,3,,25,1,1,4,,2,,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,3,8,4,,,,,,,,350,,,,,,1,,1,,,,,,,,,,,,4,2,3,,5,2,,55,42716
