Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
580,6026.701,1,0,0,0,0,0,17,4,0,0,0,2,0,54,0,1,0,26,0,4,1,3,0,320,6,9,5,0,0,0,0,0,3,5,0,38,0,0,0,0,0,0,0,33,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,563,0,0,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,6,0,101,53395
590,6130.364,1,0,0,0,0,0,11,0,0,0,0,0,0,51,0,0,0,27,0,4,1,8,0,322,16,3,3,0,2,0,1,3,4,8,0,38,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,549,1,0,1,1,0,0,2,10,0,0,0,0,0,0,1,2,0,0,4,3,1,70,53395
610,6347.776,2,0,1,0,0,1,36,8,1,0,0,1,0,62,0,0,1,32,0,3,0,2,0,356,13,2,7,0,2,0,0,1,3,10,0,47,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,640,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,1,1,78,53395
630,6653.514,0,0,0,0,0,0,40,6,2,0,2,2,0,75,0,2,1,63,0,3,6,2,1,393,13,2,8,0,0,0,0,0,0,8,0,53,0,1,3,2,0,0,0,24,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,745,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,3,2,1,80,53395
650,6959.251,1,0,0,0,0,0,39,6,4,0,0,4,0,60,1,0,0,54,0,4,1,2,1,258,9,9,2,0,2,0,0,1,1,5,0,41,0,1,0,0,0,0,0,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,542,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,6,1,73,53395
660,7112.119,0,0,1,0,0,0,50,3,0,0,5,0,0,53,0,0,0,60,0,5,2,4,0,264,9,6,2,0,2,0,0,0,0,9,0,39,0,0,0,0,0,0,0,19,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,7,0,50,53395
665,7188.554,0,0,0,0,0,0,57,2,0,0,2,3,0,54,1,3,0,67,0,3,1,4,0,321,6,6,5,0,0,1,0,0,2,5,0,33,0,0,0,0,0,0,0,16,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,0,630,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,7,1,97,53395
670,7264.988,3,0,0,0,0,0,39,11,1,0,0,0,0,36,0,1,0,61,0,3,0,1,1,301,3,0,2,0,4,1,0,0,2,6,0,24,0,0,0,0,0,0,0,20,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,562,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,1,1,83,53395
675,7341.422,0,0,0,0,1,0,58,8,0,0,5,4,0,61,1,0,0,64,0,4,3,0,0,329,10,4,3,0,2,0,0,1,1,3,0,34,0,0,0,0,2,0,0,22,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,668,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,63,53395
680,7417.856,1,0,0,1,0,0,69,7,4,0,0,15,0,54,0,0,0,54,0,1,1,2,0,273,4,2,6,0,2,0,0,1,0,9,0,25,0,0,0,0,0,0,0,19,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,8,0,592,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,71,53395
690,7569.377,4,0,1,0,0,0,82,15,3,0,1,1,0,67,0,1,0,60,0,3,2,3,1,212,6,0,10,0,2,0,0,0,1,2,1,37,0,0,0,0,0,1,0,25,3,0,1,3,0,0,5,0,0,2,0,0,0,0,0,3,0,0,0,0,0,9,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,7,0,603,1,0,4,0,0,0,1,1,0,0,0,0,5,0,0,0,2,0,0,2,1,82,53395
710,7736.455,0,0,0,1,0,0,94,19,7,0,0,1,0,72,0,0,0,47,0,8,1,2,0,231,6,5,1,0,0,1,0,0,1,6,0,25,0,1,0,0,0,0,0,18,5,0,5,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4,0,599,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,5,1,67,53395
730,7902.379,0,0,0,0,0,0,133,7,8,0,2,4,2,41,1,1,0,44,0,4,1,1,1,234,9,1,8,0,0,1,0,0,0,3,1,17,0,0,0,0,0,0,0,23,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,4,0,593,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,6,6,1,83,53395
750,8064.477,0,0,1,1,0,0,117,35,7,0,4,8,0,32,0,1,0,61,0,8,4,3,0,176,4,2,1,0,0,1,0,0,3,0,0,7,0,1,0,0,0,0,0,21,0,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,538,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,1,2,4,0,69,53395
770,8219.077,1,0,1,0,0,0,126,22,4,0,8,2,1,28,0,2,4,61,0,11,0,1,0,200,7,5,1,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,0,24,7,0,5,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,13,0,591,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,3,13,0,79,53395
790,8372.575,1,0,0,0,2,0,139,33,8,0,9,5,0,26,0,0,1,53,0,3,2,0,0,180,6,2,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,20,5,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,557,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,74,53395
810,8533.203,2,0,0,1,0,0,132,28,0,0,31,1,0,27,0,0,0,58,0,2,1,0,0,219,7,1,3,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,27,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,605,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,2,92,53395
830,8693.831,0,0,0,0,0,0,140,22,7,0,11,2,0,26,1,3,0,59,0,7,1,2,0,184,5,10,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,19,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,549,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,2,3,71,53395
840,8774.145,0,0,3,1,1,0,148,14,0,0,13,12,0,25,0,2,2,51,0,5,1,3,0,188,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,21,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,558,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,1,107,53395
850,8854.459,1,0,2,1,0,0,170,25,0,0,14,2,0,17,0,0,0,59,0,5,0,2,0,197,2,6,1,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,28,2,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,594,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,73,53395
860,8934.773,1,0,1,1,0,0,135,12,0,0,10,16,0,22,0,3,0,42,0,9,1,4,0,177,4,3,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,43,4,0,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,541,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55,53395
870,9015.087,0,0,0,0,0,0,158,24,12,0,4,7,0,33,0,2,0,54,0,6,1,2,0,185,6,2,3,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,4,0,579,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,2,0,74,53395
890,9175.715,2,0,0,0,0,0,201,18,0,0,18,5,0,22,0,1,1,53,0,8,0,0,2,200,2,6,2,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,31,1,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,7,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,8,0,634,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,4,2,93,53395
910,9336.343,2,0,0,1,0,1,211,36,14,0,12,3,0,19,0,2,2,30,0,2,2,1,1,134,6,4,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,35,1,0,6,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,586,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,3,1,59,53395
930,9496.971,0,0,0,0,0,0,247,25,28,0,15,4,0,24,1,5,3,22,0,4,1,0,0,154,2,1,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,40,1,0,14,1,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,9,0,644,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,53,53395
950,9835.081,2,1,0,0,1,0,122,24,0,0,19,8,0,28,0,1,0,32,0,5,1,4,0,209,3,1,8,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,20,0,0,15,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,544,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,2,0,53,53395
960,10023.34,1,0,1,0,2,0,121,30,12,0,5,5,0,28,0,2,2,27,0,8,3,4,0,227,9,0,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,14,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,5,0,558,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,15,1,92,53395
970,10205.62,0,0,3,2,4,0,162,54,0,0,22,0,0,56,0,4,2,44,0,9,3,0,2,168,7,2,1,0,0,1,0,0,2,1,0,3,0,0,0,0,0,0,0,11,0,0,14,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,612,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,100,53395
980,10386.71,0,0,0,0,0,0,220,53,0,0,18,2,2,44,0,3,0,75,0,9,0,6,0,129,9,2,4,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,10,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,609,0,0,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,6,1,79,53395
990,10563.23,0,3,0,1,4,0,257,53,0,0,17,0,1,23,0,3,0,56,0,5,0,0,9,64,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,541,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,6,0,63,53395
1000,10737.2,2,0,2,1,1,1,290,93,0,0,11,14,3,13,0,0,1,67,0,18,0,3,0,89,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,56,53395
1010,10898.39,0,1,0,1,1,0,233,40,20,0,3,0,3,8,0,6,0,56,0,19,4,1,0,107,1,2,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,548,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,5,1,0,54,53395
1020,11066.48,0,0,2,1,6,1,181,61,0,0,13,14,3,1,0,2,1,45,0,13,0,1,0,121,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,15,0,10,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,3,0,527,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,49,53395
1030,11228.32,2,2,16,3,11,4,149,70,0,0,23,11,0,5,0,11,0,117,0,4,3,2,0,46,0,2,1,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,10,38,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,3,1,1,0,0,0,1,0,0,0,0,0,0,3,0,579,0,0,2,2,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,1,1,50,53395
1040,11394.09,0,10,43,11,19,38,126,13,0,0,52,7,3,7,1,3,2,68,0,1,4,1,0,24,6,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,22,14,0,5,8,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,2,3,6,0,0,0,4,0,1,0,0,1,0,3,0,551,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,1,5,1,0,10,0,71,53395
1050,11571.6,10,248,83,4,51,0,15,0,0,0,78,0,0,0,0,9,2,15,0,11,0,0,0,13,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,16,1,0,4,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,619,1,0,4,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,75,53395
1070,11926.62,4,32,222,65,21,20,22,6,0,0,23,0,5,0,0,0,1,13,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,514,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,9,1,38,53395
1090,12281.64,0,117,241,115,11,5,28,8,0,0,47,0,1,3,0,1,0,17,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,4,0,48,53395
1110,12633.75,6,79,166,86,3,1,56,2,0,0,51,0,1,1,0,1,1,13,0,1,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,545,2,0,1,1,0,0,0,0,0,0,0,0,20,0,0,0,2,0,1,11,0,40,53395
1130,12969.35,2,48,171,83,11,4,94,1,1,0,97,0,0,0,0,2,1,3,0,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,1,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,2,0,601,0,0,2,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,14,0,53,53395
1150,13313.1,1,69,244,33,14,17,35,8,0,0,40,0,1,0,0,3,0,59,0,1,2,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,26,0,1,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,615,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,4,1,58,53395
1170,13675.51,6,254,7,50,0,1,20,0,0,0,43,0,0,0,0,4,2,26,0,8,0,0,2,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,66,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,10,0,0,0,0,0,0,0,0,0,7,4,0,591,2,1,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,1,122,53395
1190,14053.83,4,336,4,56,0,0,13,0,0,0,49,0,2,0,0,2,0,14,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,527,3,3,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,2,0,86,53395
