Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus Undiff.,Pinus Haplox ,Pinus Diplox,Tsuga,Taxus,Populus,Salix,Betula,Betula-small,Betulacee,Ostrya/carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica/Comptonia,Rhamnus/Vitis,Ericaceae,Viburnum,Hamamelis,Cornus,Cephalanthus,Clethra,Poaceae,Zea,Artemisia,Ambrosia,Urtica,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Roseaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Sarracenia,Lythrum,Brassicaceae,Dennstaeditia,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. Clavatum,Lycopodium,Osmunda,Woodsia,Monolete spore,Trilete spore,Upland sum,Equisetum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Pediastrum,Indet.Crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
675,7199.147,,1,,,19.5,4,,33,,,1,23,,,9,5,1,,242,6,,3,,,,,,,,23,,1,1,,,,,12,,2,,,,,,,,,,2,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,2,,395.5,,,,,,2,,,,,2,,,1,1,70,83393
700,7620.769,1,,,,13,7,,17,,,1,31,,,9,3,2,,224,4,4,3,,1,,1,4,,,19,,,,,,,,14,,1,,,,,,,,2,,,2,,,,1,,,,,,5,,,,,,,,1,,,,,,4,,,,,,2,,11,,387,,,2,,,5,,,1,,,,,,1,108,83393
725,8029.813,,1,,,41.5,4,1,28,,,,20,,,10,1,2,,203,14,4,,,,,,1,,,8,,,,,,,,17,,3,,,,,,,,2,,,3,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,,2,,7,1,380.5,,,,,,6,,,1,,5,,,,,77,83393
750,8387.471,1,,,,40,2,1,14,,,,31,,,5,1,1,,228,5,5,1,,2,,,,2,,2,1,,,,,,,29,1,4,,,,,,,,2,,,5,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,4,,393,,,,,,4,,,1,2,2,,,3,,253,83393
775,8745.13,,1,,,62,12,2,18,,,,31,,,2,,1,,164,4,2,8,,,,1,,3,,1,,,,,,,,29,,6,,,,,,,,3,,1,30,,1,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,5,,394,,,,,,8,,,,10,,,,10,2,122,83393
800,9109.831,,,,,106,22,1,21,,,1,29,,,6,,2,,184,4,5,1,,1,,,,1,,1,,,,,,,,24,4,5,,,,,,,,1,,,11,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,6,,440,,,,,,4,,,,3,1,,,2,2,90,83393
810,9461.266,,,,,95.5,17,1,11,,,1,48,,,7,1,,,194,6,4,,,,,,,2,,2,,,,,,,,28,3,4,,,,,,,,2,,,17,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,9,,458.5,,,,,1,2,,,,2,5,,,5,2,125,83393
820,9812.7,,1,,,102,22,3,9,,,3,31,,,1,2,1,,145,4,2,,,,,,,,,,,,,,,,,18,1,5,,,,,,,,3,,,20,,5,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,2,,13,,396,,,,,,1,,,,,2,,,1,,96,83393
830,10164.13,,1,,,125.5,13,6,18,,,,20,,,7,2,,,111,2,,2,,,,,,,,,,,1,,,,,5,2,3,,1,,,,,,,,,11,,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,11,,349.5,,,,,1,,2,,,1,1,,,2,2,99,83393
840,10515.57,,,,,96.5,26,7,22,,,,28,,,8,,1,,150,2,2,1,,1,,,,1,,,,,,,,,,7,5,12,,,,,,,,2,,,2,,1,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,5,,387.5,,,,,,1,,,,,3,,,1,3,94,83393
850,10867,,,,,126,29,4,38,,,,41,,,8,1,,,79,8,5,1,,,,,,,,,,,,,1,,,18,2,7,,,,,,,,4,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,1,,3,,383,,,,,,4,,,,,1,,,6,1,76,83393
860,11218.44,,,1,,182,43,1,45,,,,45,,,3,,,,71,1,,3,,,,,,1,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,406,,,,,,1,,,,,3,,,2,,63,83393
