Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Larix,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Celtis,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Liguliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum lapthifoliu t.,Lamiaceae,Cyperaceae,Xyris,Myrtaceae t.,Lonicera,Sisyrinchium,cf Rhexia,Xanthium t.,Acacia/Mimosa t.,Cornus sanquinaria t.,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium inundatum T.,Upland sum,Isoetes,Eriocaulon sp.,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Cupressaceae stomata,Non conifer stomata,Pinus stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
255,9830.821,186,,9,10,5,2,10,,,,,,,,,71,1,,,,1,16,3,3,1,,,1,,,,,,,,,,,,3,1,,1,,,14,14,1,,,,,,1,11,,2,1,9,,,,,,,,,,,,,,,,,,,12,,,,,,,,,2,1,1,,1,,394,1,,,,,5,,,,,,,,,,,18,1,2,,1,4,29,42716
260,10088.43,166,,4,5,4,11,10,,1,,,,,2,,74,,,1,,,13,3,3,,,,1,3,1,,,,1,,,1,,,,0,,1,,,30,5,3,,,1,,,,17,,2,,4,,,,,,,,,,,,,,,,,,,15,,,,,,,,,3,,1,1,2,,389,14,,,1,,4,,,2,,,,,,,,7,,2,4,7,1,27,42716
263,10243,221,1,5,15,2,12,9,,1,,1,1,2,,,69,,,,,,7,1,2,2,1,,1,1,,,,,,,,,,,,0,,2,,,17,1,,1,,,,,,9,,,,5,,,,,,,,,,,,,,,,,,,10,,,,,,,,,3,2,,,1,,405,6,,,,,4,1,,3,,,,,,,,2,,1,1,1,,17,42716
265,10346.04,184,2,8,10,14,32,5,,3,,2,,,,,52,1,,,,,9,1,,1,,,1,1,,,,,,,,,,,,6,,,,,11,2,,,,,,,,3,,,,3,,,,,,,,1,,,,,,,,,,,6,,,,,,,,,3,1,,,,1,363,14,,,,,1,1,,,,,,,,,,5,,2,3,2,1,20,42716
268,10515.16,166,3,21,17,6,25,1,,2,,,,1,1,,43,,1,,,,9,5,,,,,,1,3,,,,,,,,,,1,1,,3,,,5,9,1,,,,,,,1,,,,3,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,1,4,,,,,340,4,,,,,,,,,,,,,,,,8,,1,,5,2,25,42716
270,10776.46,139,1,,2,3,27,3,,2,1,,,3,,1,38,,,,,,36,7,2,,,,5,,,,,,,,,,1,,,1,,6,,,11,7,,,,,,,,2,,1,,4,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,8,1,,,,,322,6,,,,,1,1,,3,,,1,,,,,1,,1,1,5,1,19,42716
273,11168.41,115,,25,1,6,6,2,2,17,5,22,8,3,3,7,14,,,,1,4,36,,1,1,,,,9,,1,,,,,,,,,,1,,16,,,15,3,,,,,,,,3,,,,2,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,17,,2,1,4,,357,69,,,1,,,,,,,,,,,,1,4,1,3,1,,2,18,42716
275,11429.7,136,1,65,,10,4,3,3,12,5,13,2,10,,2,18,1,,1,,1,25,1,3,,1,,9,7,,,,,,,,,,,,0,,18,2,,12,1,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,7,1,2,,9,1,398,45,,,1,,,,,,,,1,,,,,7,,3,1,2,1,21,42716
278,11821.65,91,1,75,2,3,4,9,4,32,3,10,3,6,,5,17,,,,,1,32,2,3,1,1,,6,5,,,,,,,,1,,,,0,1,,,,9,1,1,1,,,,,,3,,,,1,,,,,,,,,,1,,,2,,,,,,2,,,,,,,,,11,3,,,2,,355,22,,,1,,,,,,,,,,,,,16,,,,1,1,21,42716
280,12082.95,100,3,64,,12,,5,,30,3,15,3,13,3,2,10,,,,,1,17,1,,,,,2,10,1,,,,,,,,,,1,0,,,,,3,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,4,,,,,313,26,,,4,,,,,,1,,,,,,,2,,2,,7,,23,42716
283,12474.9,94,1,64,1,4,5,8,8,42,7,32,1,3,1,8,3,,,,,,28,2,,,,,3,8,,,,,,,,,,,,0,,,,,3,,,,,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,335,8,,,,,1,,,,,,,,,,,1,,,,9,2,24,42716
285,12736.2,104,,41,,12,8,,4,28,5,21,6,7,,,9,8,,,,,29,3,,,,,,7,,,,,,,,,,,,0,,,,,8,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,309,16,,,6,,,,,,,,,,,,,,,,1,8,,21,42716
288,13128.14,68,,46,3,,3,,7,40,5,27,9,6,1,5,11,,,,,,26,2,,,2,,7,13,,,,,1,,,,,,,1,,1,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,7,,306,24,,,2,,,,,,,,,,,,,7,,2,1,1,1,14,42716
290,13389.44,70,2,55,1,,4,2,1,45,2,12,4,14,2,7,14,,1,,,,17,10,,,,,2,35,,,,1,,,,,,,,3,,,,,9,1,1,1,,,,,,1,,,,4,,,,,,,,,1,1,1,,,,,,,,4,,,,,,,,,1,1,,,4,,334,42,,,2,,,,,,,,,,,,,1,1,4,2,2,,27,42716
