Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Myrtaceae t.,Cornus sanquinaria t.,Combretaceae T.,Anacardiaceae,Ceanothus t.,Sambucus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum aviculare. t.,Lamiaceae,Liliaceae,Saxifraga oppositifolia t.,Impatiens,Lycopodium inundatum T.,Caryophyllaceae,Boraginaceae,Triticum t.,Sisyrhincium t.,Petalostemum purpereum t.,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Eriocaulon,Pontederia,Utricularia,Cabomba,Cupressaceae stomata,Pinus stomata,Non conifer stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
192,1812.954,16,1,2,4,1,,10,,,,1,,,1,78,10,,,,28,25,9,4,1,,,4,,1,2,,,3,,6,,,,,,6,,2,76,,2,2,,,,,,,,,,,,2,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,304,,,,,,1,3,,,,,,,,,,,,,4,1,2,,17,1,78,42716
203,2001.818,14,,1,3,1,2,14,,,,,,,,91,10,,1,,27,21,6,4,2,4,,3,,10,2,,2,2,1,3,,,,,,1,,,66,,,4,,,,,,,,,,,,2,1,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,2,6,,,312,,,,,,,6,,,,,,,,,,,,1,,,,,6,1,58,42716
216,2173.447,18,,1,5,,1,13,,,1,,,,6,87,14,,1,,35,20,7,2,,1,4,1,,3,1,,,5,,7,,,2,,,2,,,58,10,3,7,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,2,2,,,326,,,,,,,2,,,,,,,,,,,,,2,,3,2,8,,90,42716
228,2331.873,23,,,,1,4,15,,,,,3,,2,86,11,1,,,48,24,5,2,,4,,,,5,4,,1,5,,1,,,,,,,,,63,2,,1,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,2,2,1,1,,,325,,,,,1,2,3,,,1,,,,,,,,,,3,1,,,4,1,86,42716
240,2490.3,27,,,6,,1,5,,,,1,,1,5,96,8,,1,,51,20,5,6,,1,,2,,1,2,1,1,1,1,2,,1,,,,,,,87,1,3,,1,,,,,1,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,4,2,,,350,,,,,,1,4,,,,,,,,,,,,,2,,3,,16,3,70,42716
252,2648.727,19,,1,1,,,8,,,1,,,,2,68,7,,3,,44,27,5,9,2,,,,,2,3,1,1,5,,,,1,,,,3,,,75,1,,,3,,,,,1,,,,,,1,1,1,,,,,,,,1,,,,,,,1,2,,,,,1,,,,,,,,1,1,2,4,,,309,,,,,,1,1,,,,,,,,,1,,,,,,3,,9,,67,42716
264,2807.153,18,,1,1,2,4,11,,,,,,,8,94,8,,1,,69,16,7,5,1,3,1,5,,3,3,,,1,,1,,1,,,,,,,59,10,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,3,,,,,,,,,,,,,1,2,,2,,,346,,,,,,,4,,,,,,3,,,,,,,2,,7,2,27,2,66,42716
276,2965.58,16,,,,1,1,13,,,,,,,4,137,6,,,,54,25,5,5,3,1,,3,,4,3,,,1,,2,,,,,,1,,,30,2,1,1,2,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,2,3,1,,,334,,,,,,,1,1,,,,,,,,,,,,,,4,,6,,63,42716
288,3124.007,21,,,9,2,3,11,,,,,,1,,132,33,1,1,,54,20,8,2,1,,2,5,2,2,2,2,,3,,3,,1,,,,1,1,,42,2,2,,,,1,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,,,389,,,,,,1,7,,,,,,,,,,,,,,1,3,,12,,84,42716
300,3282.433,22,,,1,,4,4,,,,,,,4,113,14,,1,,42,29,10,3,1,1,1,3,1,1,1,,1,6,,7, ,,,,,,,,34,  ,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,4,,,,,,,,,,,,,1,3,4,1,,,322,,,,1,,1,2,,,,,,,,,,,,,3,,,,6,1,81,42716
312,3385.67,21,1,,,1,1,9,,,,,,1,3,106,14,,,,68,33,3,3,1,2,,6,,4,2,1,,7,1,1,,,,,,2,,,29,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,1,4,1,,336,,,,1,,,3,,,,,,1,,,,,,,1,,1,,12,2,99,42716
324,3488.538,17,1,2,2,2,6,12,,,,,,1,3,112,9,1,,,48,35,3,3,1,,,7,1,1,2,,3,8, ,5, ,,1,,,1,,,25,2,, ,1,,,,,,,,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,328,,,1,,,,4,3,,,,1,,,,,,,,6,,3,1,7,,74,42716
336,3591.405,35,,2,,4,1,10,,,,,,,,101,23,,,,84,30,15,4,2,2,,6,,4,1,,1,8,,4,1,1,1,,,4,,,76,3,2,,1,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,2,3,1,,440,,,,1,,2,11,1,,,,,,,,1,,,,16,,1,1,18,3,136,42716
348,3694.272,25,,1,3,1,2,1,,,,1,1,1,3,92,8,2,,,70,18,5,,3,1,,3,,9,1,1,,9,,9,,,,,,3,,,30,1,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,2,3,,,317,,,,,,1,1,,,,,,,,,1,,,,4,2,,,4,2,61,42716
360,3797.14,16,2,,3,1,6,10,,,1,,,,,102,8,1,,,51,14,3,4,1,2,1,3,,9,4,,3,5,,13,,,,,,6,,,32,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,5,2,,,314,,,1,,,3,5,2,,,,,,,,,,,,5,2,1,1,5,1,88,42716
372,3900.007,15,,,,2,6,6,,,,,1,,4,81,7,,,,78,24,2,1,,3,1,9,,10,1,,1,11,2,9,,,,,,1,,,43,1,2,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,4,,,331,,,,,,,1,1,,,,,1,,,,,,1,6,,3,1,9,3,52,42716
