Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Planera ,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Shepherdia,Rhus,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Liliaceae,Corydalis ?,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,tree&shrub
41-42 cm,1,3,,,55,8,123,14,,,4,101,,,4,4,,,168,6,1,,,,,,19,,,11,2,,,,,,,4,,,,2,,1,1,,,9,,,,,,541,24,1,,57,,,,2,,1,15,,1,2,,,,,1,,,,,,,,1,,,,,5,,1,,,,4,,,,22,4,,,,1,1,,,,,2,1,,,,3,,1,1,,5,,,212,,,524,17,104,36,681,8,7,696,541
44-45 cm,4,8,,1,39,16,102,27,,,1,89,,,4,9,6,,173,6,1,2,,1,,,9,,1,16,2,,,,,,,5,,,,2,,,3,,,2,,,,,,529,33,2,1,62,1,1,,3,,,13,1,1,2,,,,,1,1,,,,,,,,,,,,3,,,,,,2,,,,17,4,,,,,,,,2,1,3,,1,,,,,1,,,1,,,279,,,517,12,122,26,677,7,2,686,529
48-49 cm,4,8,,,44,4,128,15,,,2,82,,,10,8,1,,154,7,,,,1,2,,17,,1,20,,,,,,,,6,,,,1,,,3,,,5,,,,,,523,20,3,1,34,,3,,2,,,10,,2,4,,,,,1,,,,,,,,,,1,,,2,,,,,,,,,,21,3,,,,,,,,,,1,,,,,,,3,3,,4,,,175,,,508,15,80,26,629,1,10,640,523
52-53 cm,10,6,,,58,5,107,27,,1,2,91,,,3,4,2,,151,6,1,,,,,,17,1,,21,1,,,1,,,,4,,,,3,,1,2,,,3,,,,,,528,33,,,68,,3,,,,,22,1,3,2,,,,,,,,1,,,,,,,,,,3,,,,,,3,,,,25,3,,,,,2,,,,2,2,,,,,,,,,,4,,,116,,,515,13,133,34,695,6,4,705,528
56-57 cm,8,8,,,61,5,124,29,,,1,66,,,5,4,1,,143,2,2,,,1,2,,13,,1,27,8,,,,,,,6,,,,,,1,4,,,7,,,,,,529,21,,,52,,,,,,,11,,2,,,,,,,,,,,,,,1,,,,,3,,,,,,2,,,,14,1,,,,,2,1,,,,2,,,,,,,2,,,1,,,152,,,511,18,86,20,635,5,3,643,529
61-62 cm,9,9,,,30,4,132,26,,2,6,75,,,7,9,6,,155,4,3,2,,,,,14,1,,26,2,,,,,,,7,,,,,,,2,,,3,,,,,,534,24,,2,40,1,2,,,,,32,,2,2,,,1,,,,,,,,,,,,,,,6,,,,,,5,,,,23,3,,,,,3,,,,1,1,,2,,,,,,,,2,,,134,,,522,12,106,37,677,7,2,686,534
64-65 cm,10,4,,,54,5,117,30,,3,4,71,,,8,3,2,,163,4,2,,,2,1,1,16,1,,12,3,,,,,,,7,,,,1,,4,5,,,11,,,,,,544,35,1,,54,1,1,1,1,,,25,,1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,24,2,,,,2,3,,1,,3,2,,,,,,,1,3,,,,,183,,,516,28,120,34,698,11,4,713,544
68-69 cm,7,10,,,46,14,125,29,,4,2,69,,,7,7,2,,142,7,6,1,,1,,,12,,,21,9,,,,,,,5,,,,2,,2,2,,,4,,,,,,536,48,2,2,58,,2,,,,,28,,2,6,,,,,,,,,,,,,,,,,,5,,,,,,11,,,,18,1,,,,1,4,,1,,2,3,,1,,,,,1,1,,,,,185,,,521,15,148,35,719,12,2,733,536
72-73 cm,7,5,,,49,12,128,30,,,2,53,,,7,3,2,,177,7,4,,,,2,1,12,,,18,8,,,,,,,3,,,,1,,2,1,,,3,,,,,,537,58,,,59,,2,,1,,,27,1,3,1,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,33,1,,,,,,,,,4,1,,,,,,1,1,3,,2,,,213,,,527,10,152,39,728,5,6,739,537
76-77 cm,7,4,,,55,8,126,29,,5,4,61,,,14,6,2,,158,7,1,2,,,3,,16,1,1,16,3,,,,,,,5,,,,,,,7,,,1,,,,,,542,35,,,59,,,,,,,26,,3,5,,,,,,,,1,,,1,,,,,,,2,,,,,,2,,,,51,3,,,,,1,,1,,1,,,1,,,,,,2,,5,1,,100,,,529,13,130,58,730,4,8,742,542
80-81 cm,8,7,,,61,4,121,21,,1,3,57,,,3,1,6,,157,7,3,,,,1,,18,,,28,2,,,,,,,6,,,,1,,,6,,,4,,,,,,526,22,,,38,,1,,,,,25,,,5,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,9,2,,,,,1,,,,,2,,,,,4,,,3,,2,1,,243,,,509,17,91,15,632,7,6,645,526
84-85 cm,16,8,,,61,4,108,19,,1,3,82,,,3,4,6,,159,5,4,,,,,,17,,,20,4,,,,,,,4,,,,1,,,4,,,1,2,,,,,536,29,,,41,1,2,,1,,,25,,1,6,,,1,,,,,,,,,,,,,1,,7,,,,,,1,,,,30,2,,,,,1,,,1,1,3,,,,,,,,2,,2,1,,138,,,524,12,107,40,683,6,5,694,536
88-89 cm,2,5,,,52,3,121,29,,2,2,61,,,4,,3,,167,8,4,,,2,1,,16,,,16,1,,,,,,,4,,,,2,,2,6,,,1,,,,,,514,30,2,,30,,1,,,,,19,,,3,,,,,,,,,,,,,,,,,,6,,,,,,,,,,12,2,,,,3,,,,,,4,,,,,,,,2,,,,,247,,,499,15,85,20,619,7,2,628,514
94-93 cm,11,3,,,49,2,122,20,,1,3,68,,,3,3,3,,163,3,3,2,,1,,,12,,1,22,5,,,,,,,10,,,,,,2,1,,,2,,,,,,515,24,1,,24,,,,,,,12,,,5,,,,,,,,,,,,,,,,,,2,,,,,,,,,,36,5,,,,,2,,,,,,,,,,,,,2,,,,,181,,,500,15,66,43,624,2,2,628,515
