cal age linear,Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus total,Tsuga,Picea glauca,Picea mariana,Picea Undiff,Picea total,Picea indet.,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Comptonia,Corylus,Betuloid,Tilia,Cephalanthus,Platanus,Celtis,Rhus,Rhamnus,Cornus,Morus,Viburnum,Sambucus,Ephedra,Pollen conc,Poaceae,Artemisia,Ambrosia,Iva ciliata t.,Rumex,Plantago,Tubuliflorae,Liguliflorae,Secale,Zea,Triticum,Solanaceae,Cheno/Am,Salsola,Sarcobatus,Urtica,Thalictrum,Menyanthes t.,Hydrocotyle t.,Apiaceae undiff,Sium t.,Boraginaceae,Cyperaceae,Rosaceae,Filipendula sp.,Ephedra,Hypericum,Xyris,Ranunculus,Polygonum bistota t.,Impatiens,Brassicaceae,Menyanthes,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,Botrichium t.,Gymnocarpium t.,Athyrium,Polypodium,Elaphoglossum,Lycopodium lucidulum t.,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Sparganium,Sagittaria,Pontederia,Nymphoidaea,Typha/Sparganiumt.,Eriocaulon,Utricularia t.,PreQuaternary,Pinus stomata,Tsuga stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic,total pollen sum,C:P,Sample age,sample vol,exotic conc,% sample vol counted,pollen conc/cc,tree sum,tree&shrub
492.71,80,40,3,3,0,46,20,3,0,3,6,0,0,5,277,22,3,1,31,64,3,10,2,6,0,0,1,1,19,0,5,6,1,0,0,5,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,541,8,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,8,5,2,0,2,0,0,0,0,0,3,0,0,5,2,6,1,0,0,0,0,1,0,0,3,0,0,1,0,3,0,11,1,298,609,70,529.4,1,85432,0.0034881543,174590.899328859,515,541
533.25,84,26,2,7,6,41,24,3,0,3,6,0,0,6,276,21,4,1,21,64,4,8,0,3,0,0,1,0,13,0,1,3,1,2,0,3,5,0,0,0,8,0,1,0,3,1,0,0,0,1,0,0,0,522,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,4,5,0,0,0,0,0,0,0,3,0,1,3,1,6,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,7,3,363,593,70.1,567,1,85432,0.0042489934,139562.468319559,494,522
573.79,88,35,7,7,4,53,43,8,0,4,12,0,0,7,250,23,3,0,22,76,2,4,0,3,0,0,0,0,33,0,4,3,1,0,0,2,3,0,0,0,8,1,0,0,1,0,0,0,0,0,1,0,0,555,5,0,6,0,4,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,2,4,0,0,0,0,1,0,1,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,3,612,634,41,604.7,1,85432,0.0071635921,88503.0849673203,510,555
614.33,92,37,9,3,1,50,37,2,0,3,5,0,0,6,254,25,2,0,29,56,1,2,0,7,0,0,0,0,13,0,6,3,3,0,1,3,0,0,1,0,7,1,0,0,1,0,1,0,0,0,0,1,0,515,4,0,3,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,6,4,0,0,0,0,0,0,0,5,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,3,327,585,44.4,642.4,1,85432,0.0038276056,152837.064220183,492,515
654.87,96,27,7,6,3,43,37,0,0,2,2,0,0,1,276,25,4,0,28,64,2,5,6,8,0,0,0,0,12,0,6,4,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,531,5,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,319,570,75.7,680.1,1,85432,0.0037339639,152652.789968652,514,531
695.41,100,37,9,5,1,52,33,2,0,2,4,0,0,2,269,15,5,1,25,64,4,6,0,9,0,0,0,0,19,0,2,8,0,0,0,1,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,529,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,12,4,8,0,0,0,0,0,0,1,3,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9,1,402,594,49.7,717.7,1,85432,0.0047054968,126235.343283582,503,529
744.8,104,23,5,2,0,30,30,1,0,2,3,0,0,6,270,13,4,1,45,56,3,10,1,2,0,0,0,1,20,0,5,7,0,0,2,0,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,522,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,2,3,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,282,553,47.8,765.2,1,85432,0.0033008709,167531.546099291,490,522
820.8,108,18,1,5,0,24,30,1,1,3,5,0,0,4,297,18,3,1,32,56,4,5,2,3,0,0,0,0,17,0,2,6,0,1,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,518,6,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,2,5,0,0,0,0,0,0,0,6,2,0,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,1,309,576,63.3,841.8,1,85432,0.0036169117,159251.883495146,493,518
896.8,112,19,4,1,0,24,50,1,0,4,5,0,2,6,284,26,2,0,35,71,3,7,1,6,0,0,0,1,11,0,3,4,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,549,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,5,2,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,312,602,59.6,918.4,1,85432,0.0036520273,164839.948717949,532,549
972.8,116,24,8,3,0,35,35,1,0,2,3,0,0,5,296,23,2,2,36,69,3,5,1,8,0,0,0,1,19,0,2,8,1,1,1,2,1,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,4,2,0,0,0,0,0,0,0,1,1,0,3,2,8,0,0,0,0,0,1,0,0,0,0,0,2,0,4,0,1,1,241,614,49.6,995,1,85432,0.002820957,217656.630705394,538,568
