Depth (cm),Cal age,Abies,Acerud,Acer negundo-type,Acer rubrum,Acer saccharum-type,Alnus incana-type,Alnus viridis,Ambrosia-t,Apia,Arceuth,Art,Astae.Lu,Astae.Tu,Betula,Brasenia,Broken,Carya,Castanea,Celtis,Cephalanthus,Cerea,Ch/Am,Clethra t.,Circa,Corroded,Corylaceae,Corylus,Crumpled,Cornus,Cupressaceae,Cyperaceae,Degraded,Dryopteris t.,Equise,Ercae,Eriocaulon,Exotic,Fabaceae,Fagus,Fraxinus nigra-type,Fraxinuspe-t,Fraxinus.ud,Hidden,Galium,Ilex,ind,Iso,Isoetes,Iva,Juglans.c,Juglans.n,Larix,Liriodendron,Liquidambar,Lyc.a,Lyc.cl,Lycae.ud,L. inundatum,Lycopodium lucidulum,Myrica,Myriophyllum,Nupher,,Nyssa,Osu,Ostrya/Carpinus,Pinus indeterm,Pinus undiff,Pinus banksiana-t.,Pinus diplox t.,Pinus rigida t.,Pinus resinosa t.,Pinus subg. strobus,Picea mariana,Picea rubens/undiff.,Picea indet.,Platanus,Plantago,Plypod,Poaae,Populus,Potomogeton,Polygonum pers. T.,Potentilla,Ptr-t,Quercus,Ranunculaceae,Rubus ch,Rhus,Rosaceae undiff,Rum,Rumex,Sagittaria,Slx,Sparganium-type,Sphagnum,Taxus,Thali,Tilia,Triticum t.,Tsuga,Tsuga stomata,Ty/Sp,Ulm,unk,Unknown stomate t.,Urtica,Vesiculate conif.,Vitis,,upland sum
308,6859.906,,,1,3,7,,6,1,,,1,,,77,,,2,,,1,,,,,1,,,,,,,2,2,,,,19,,40,1,1,,7,,,,,4,,,,,,,,,,,,,,,,4,1,4,43,,,,,,7,,,,,,,,,,,,4,43,,,,,,,,,,,,,,,153,,,5,,,,,,,407
313,6982.05,0,8,,,,4,,0,0,0,0,0,0,60,,,0,0,0,,0,0,,0,,,0,,0,0,0,,,0,0,,18,,54,,0,8,,0,1,8,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,1,42,,,0,,,24,,,0,0,1,0,3,0,,,0,0,53,0,0,,,0,0,,0,,,,0,1,,170,,0,6,1,,0,,,,436
318,7104.194,1,1,2,3,5,,4,1,,,1,,,56,,,2,1,,,,,,,,1,2,2,,,,,,,,,16,,45,,4,,18,,2,,,,,1,,,1,,,,,,,,,,,1,,,47,,1,,,,15,1,,,2,,,,,,,,,39,,,,,,1,,,,,,,1,,162,,,6,1,,,2,,,409
324,7250.767,0,8,,,,6,,0,0,0,0,0,1,66,,,2,0,0,,0,0,,1,,,0,,0,0,0,,,0,0,,20,,38,,0,7,,0,0,19,0,0,0,0,0,0,,0,0,0,0,,,2,,0,,0,0,3,81,,,1,,,21,,,0,0,0,0,1,0,,,0,3,67,0,0,,,0,0,,0,,,,0,0,,108,,0,4,7,,1,,,,421
334.5,7486.569,1,7,,,,2,,0,0,0,0,0,0,56,,,1,0,0,,0,0,,0,,,2,,0,0,2,,,0,0,,19,,31,,0,3,,0,0,17,0,0,0,0,0,0,,0,0,0,0,,,1,,0,,0,2,0,98,,,2,,,32,,,5,0,0,0,0,0,,,0,3,68,0,0,,,0,0,,0,,,,0,1,,99,,0,4,0,,0,,,,420
345,7738.926,1,7,,,,8,,0,0,0,0,0,0,43,,,1,0,0,,0,0,,0,,,1,,0,1,1,,,0,0,,25,,18,,0,3,,0,1,27,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,0,2,149,,,1,,,20,,,3,0,0,0,1,0,,,0,0,70,0,0,,,0,0,,0,,,,0,0,,90,,0,6,1,,0,,,,427
366,8244.419,0,3,,,,4,,0,1,0,0,0,0,30,,,1,0,0,,0,0,,0,,,0,,0,0,0,,,1,0,,21,,12,,0,2,,0,0,10,0,2,0,0,0,2,,0,0,0,0,,,4,,0,,0,0,4,165,,,2,,,31,,,0,0,0,1,0,0,,,0,4,92,0,0,,,0,0,,0,,,,0,1,,68,,0,5,5,,0,,,,432
376.5,8512.249,2,4,,,,14,,1,0,0,1,0,0,53,,,0,0,0,,0,0,,0,,,1,,0,1,0,,,0,1,,40,,3,,0,4,,0,2,11,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,2,4,141,,,4,,,56,,,0,0,0,0,2,0,,,0,1,96,0,0,,,1,0,,0,,,,0,0,,52,,0,8,3,,0,,,,454
387,8694.534,1,3,,,,10,,1,0,0,0,0,1,47,,,0,0,0,,0,0,,0,,,1,,0,0,0,,,0,1,,47,,2,,0,6,,0,3,13,0,0,0,0,0,0,,0,0,0,0,,,1,,0,,0,1,5,167,,,2,,,36,,,7,0,0,0,2,0,,,0,0,72,0,0,,,0,0,,0,,,,0,0,,57,,0,2,0,,0,,,,428
397.5,8849.746,2,5,,,,6,,0,0,0,0,0,1,37,,,0,0,0,,0,0,,0,,,2,,0,1,2,,,0,1,,23,,5,,0,10,,0,3,14,3,0,0,0,0,0,,0,0,0,0,,,3,,0,,0,0,8,155,,,1,,,64,,,2,0,0,0,0,0,,,0,1,56,0,0,,,0,0,,0,,,,0,0,,47,,0,2,2,,0,,,,414
