Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
144,1177.136,0,23,,1,0,17,,5,,,,2,56,,0,0,0,204,3,11,3,2,11,2,10,16,11,0,10,,0,0,2,2,0,0,88,0,0,0,0,0,0,12,0,0,0,40,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,5,2,0,4,,0,201,42716,,534
148,1243.964,0,36,,0,0,20,,9,,,,2,80,,0,0,0,161,3,5,5,2,5,1,18,13,8,1,8,,2,0,0,2,1,0,87,0,0,0,0,0,0,6,0,0,1,38,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,5,6,0,8,,0,305,42716,,518
152,1310.793,0,34,,1,0,14,,16,,,,0,63,,0,0,0,155,2,0,4,1,7,0,22,7,15,4,5,,0,0,1,1,0,0,81,0,0,0,0,0,0,9,0,0,1,50,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,3,4,0,13,,1,269,42716,,495
156,1377.621,2,15,,2,1,15,,6,,,,1,62,,0,0,0,174,1,0,8,1,5,4,25,9,9,1,3,,0,0,1,1,0,0,88,0,0,0,0,0,0,4,0,0,0,45,0,1,,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,4,9,0,4,,0,151,42716,,492
160,1444.449,1,21,,0,0,25,,8,,,,5,53,,0,0,0,184,0,26,7,0,1,1,13,10,7,1,6,,1,0,0,1,0,0,98,0,0,0,0,0,0,10,0,0,0,41,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,4,11,2,8,,0,197,42716,,525
164,1511.278,0,16,,0,0,11,,9,,,,2,93,,0,0,0,154,3,4,4,3,9,2,22,7,7,1,7,,1,1,1,1,0,0,110,0,0,0,0,0,0,4,0,0,0,33,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,3,4,1,9,,0,165,42716,,515
168,1578.106,2,13,,0,0,10,,5,,,,1,86,,0,0,0,137,2,0,10,4,7,2,22,12,17,1,8,,2,0,0,3,0,0,97,0,0,0,0,0,0,7,0,0,0,50,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,1,0,0,0,0,8,6,1,6,,0,194,42716,,502
172,1644.935,2,7,,0.5,1,14,,5,,,,1,78,,0,0,0,149,0,14,9,9,10,5,25,8,14,1,6,,2,0,2,1,0,0,105,0,1,0,0,0,0,15,0,0,0,39,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,,0,1,0,0,0,0,2,3,1,5,,0,199,42716,,533.5
176,1711.763,1,6,,0,1,12,,7,,,,2,75,,0,0,0,153,2,13,8,3,5,2,24,6,16,2,7,,1,1,1,3,2,0,100,0,1,0,0,0,0,14,0,0,0,38,0,0,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,0,,0,0,0,0,0,0,2,6,0,2,,0,192,42716,,521
180,1776.937,0,9,,2,0,13,,9,,,,1,82,,0,0,0,157,3,14,11,3,10,1,11,12,12,0,6,,1,1,0,0,1,0,95,0,1,0,0,0,0,8,0,0,0,39,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,5,2,0,11,,0,183,42716,,506
184,1844.61,0,2,,0,0,15,,6,,,,3,73,,0,0,1,163,1,14,5,4,8,2,29,6,9,1,6,,1,0,0,2,1,0,98,0,1,0,0,0,0,9,0,0,0,43,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,2,8,,0,194,42716,,504
188,1914.276,2,2,,1,0,19,,3,,,,2,69,,0,0,0,172,2,16,11,2,6,2,21,16,19,1,6,,0,0,0,0,0,0,83,0,1,0,0,0,1,10,0,0,0,16,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,2,5,3,8,,0,138,42716,,487
