core,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Ruppia,Polypodium,Dryopteris thelypteris,Brasenia,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
surface,78.5,3,6,1,0,65,54,5,5,91,0,0,0,137,1,3,0,6,68,2,9,1,3,1,0,2,2,2,0,107,9,0,0,0,0,2,3,0,0,5,0,2,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,2,6,1,1,0,0,219,45,536,7,5,2,10,548,550,560
surface,80.5,1,4,0,0,52,28,20,4,104,0,0,0,142,0,5,2,5,55,1,12,5,1,0,1,1,5,0,0,125,8,0,1,1,0,3,5,0,0,6,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,2,0,1,220,30,550,5,5,1,11,560,561,572
surface,82.5,1,5,0,0,70,42,20,8,92,0,0,0,143,1,5,5,15,52,9,10,2,2,1,0,1,4,3,0,96,8,0,1,3,0,2,1,0,1,8,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,6,5,0,1,0,0,200,32,551,9,6,5,12,566,571,583
surface,84.5,2,3,3,0,89,62,21,6,87,0,0,0,167,0,5,1,8,57,1,6,3,2,0,0,0,5,1,0,82,15,0,0,0,0,4,2,0,0,13,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,3,0,3,6,1,2,0,1,191,31,566,3,6,7,13,575,582,595
surface,86.5,1,6,0,0,68,45,16,7,85,0,0,0,210,2,2,1,7,48,1,8,5,2,0,0,2,4,2,0,92,6,1,0,0,0,2,1,0,0,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,3,0,0,0,1,182,35,570,3,4,3,8,577,580,588
surface,88.5,1,3,0,0,61,36,22,3,66,0,0,1,179,1,2,4,8,50,2,12,3,4,1,0,0,5,1,0,109,2,1,0,1,0,1,2,0,0,7,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,4,1,1,0,0,142,28,531,4,3,2,9,538,540,549
surface,90.5,2,2,0,0,67,40,21,6,82,0,0,0,166,1,2,4,6,72,4,7,5,2,1,0,1,14,2,0,90,6,1,0,2,0,1,4,0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,6,1,5,0,0,188,27,556,4,2,1,18,562,563,581
surface,92.5,1,4,1,0,84,41,39,4,70,0,0,0,189,2,2,2,5,60,1,12,3,1,0,0,0,7,2,0,101,1,1,0,1,0,0,4,0,0,6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,4,0,0,0,0,297,85,565,6,6,3,7,577,580,587
surface,94.5,1,2,0,0,69,29,39,1,90,0,0,0,158,1,3,1,9,43,5,10,5,2,2,0,0,7,1,0,112,4,0,0,2,0,1,1,0,0,2,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,2,0,3,3,1,0,0,0,195,43,534,5,3,4,7,542,546,553
surface,96.5,1,1,0,0,59,30,27,2,71,0,0,1,180,2,5,1,8,59,1,8,2,2,1,0,1,3,1,0,100,10,1,0,3,0,2,6,0,0,5,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,0,10,3,1,3,0,0,137,39,538,4,11,5,17,553,558,575
surface,98.5,0,2,1,0,51,27,21,3,95,0,0,0,160,0,3,1,11,66,5,9,3,1,1,0,1,4,0,0,85,6,0,0,0,0,2,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,3,0,9,3,2,4,0,3,195,63,519,6,8,5,21,533,538,559
surface,100.5,0,1,0,0,56,36,18,2,102,0,0,0,133,0,4,3,3,88,5,9,5,2,0,0,0,4,1,0,95,3,1,0,1,0,3,3,0,1,3,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,1,0,0,0,3,0,10,5,2,2,0,0,187,40,533,3,11,4,19,547,551,570
surface,102.5,0,1,0,0,59,38,18,3,123,0,0,0,137,0,1,4,11,59,1,9,4,4,1,0,1,4,2,0,81,6,0,0,0,0,1,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,6,0,6,2,1,4,0,2,219,88,521,2,6,7,15,529,536,551
