"","x"
"586","Petalostemum.purpereum.t."
"587","Phlox"
"588","Physocarpus"
"589","Picea"
"590","Picea.1"
"591","Picea.2"
"592","Picea.3"
"593","Picea.4"
"594","Picea.glauca"
"595","Picea.halfs"
"596","Picea.indet."
"597","Picea.mariana"
"598","Picea.mariana.t."
"599","Picea.mariana.type"
"600","Picea.rubens.mariana"
"601","Picea.rubens.undiff"
"602","Picea.rubens.undiff."
"603","Picea.undiff"
"604","Picea.Undiff"
"605","Picea.undiff."
"606","Picea.undiff.."
"607","Pinaceae.undiff."
"608","Pinguicula.t."
"609","Pinus"
"610","Pinus.1"
"611","Pinus.2"
"612","Pinus.banksiana.P..resinosa"
"613","Pinus.banksiana.t."
"614","Pinus.diplox"
"615","Pinus.Diplox"
"616","Pinus.diplox.t."
"617","Pinus.diploxylon"
"618","Pinus.halfs"
"619","Pinus.haplox"
"620","Pinus.Haplox"
"621","Pinus.haploxylon"
"622","Pinus.indet"
"623","Pinus.indet."
"624","Pinus.indeterm"
"625","Pinus.indeterminable"
"626","Pinus.resinosa.t."
"627","Pinus.rigida.t."
"628","Pinus.strobus"
"629","Pinus.Strobus"
"630","Pinus.subg..Pinus"
"631","Pinus.subg..Pinus.undiff."
"632","Pinus.subg..strobus"
"633","Pinus.subg..Strobus"
"634","Pinus.subg..Strobus.undiff."
"635","Pinus.Subgenus.Pinus"
"636","Pinus.Subgenus.Strobus"
"637","Pinus.undiff"
"638","Pinus.undiff."
"639","Pinus.Undiff."
"640","Pinus.undifferentiated"
"641","Planera"
"642","Plantage.Lancelata"
"643","Plantago"
"644","Plantago.lanceolata"
"645","Plantago.lanceolata.type"
"646","Plantago.major"
"647","Plantago.majore"
"648","Plantago.media"
"649","Plantago.rigida.type"
"650","Plantago.undiff."
"651","Platanus"
"652","Platanus.occidentalis"
"653","Plumbaginaceae"
"654","Plypod"
"655","Poaae"
"656","Poaceae"
"657","Poaceae..Cerealia."
"658","Poaceae..Cerealia..undiff."
"659","Poaceae.undiff."
"660","Polemoniaceae"
"661","Polemonium"
"662","Pollen.conc"
"663","pollen.conc.cc"
"664","Polygalaceae"
"665","Polygola.sp."
"666","Polygonaceae"
"667","Polygonaceae.undiff."
"668","Polygonella.sp."
"669","Polygonella.t."
"670","Polygonum"
"671","Polygonum.amphibium.type"
