"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"23619",1805000,694000,0.0266,2e-07,0.0055,0.0542,0.0299,0.0014,0.1307,2e-07,0.0093,2e-07,0.03115,0.04065,0.00415,0.0891,0.22965,0.1563,1e-04,1e-04,0.0016,0.0215,2e-07,2e-07,0.0079
"23620",1813000,694000,0.0287,2e-07,0.01095,0.19595,0.09405,9e-04,0.1571,2e-07,0.0066,2e-07,0.04815,0.01365,0.00655,0.19515,0.1742,0.01405,2e-04,4e-04,0.0012,0.00225,2e-07,2e-07,0.0054
"23621",1821000,694000,0.03165,2e-07,0.01815,0.09675,0.10795,0.00065,0.18235,2e-07,0.00635,2e-07,0.06725,0.0266,0.01955,0.1803,0.21885,0.0039,6e-04,4e-04,0.0015,0.00165,2e-07,2e-07,0.00465
"23622",1829000,694000,0.0309,2e-07,0.0047,0.4329,0.05255,2e-04,0.0019,2e-07,0.0048,2e-07,0.21125,0.003,0.01115,0.08705,0.0133,0.0033,0.0062,2e-07,5e-04,4e-04,2e-07,2e-07,0.00095
"23623",1837000,694000,0.02175,2e-07,0.0018,0.4934,0.045,1e-04,2e-04,2e-07,0.00375,2e-07,0.168,0.001,0.0032,0.0653,0.0015,0.0012,0.1546,2e-07,3e-04,1e-04,2e-07,2e-07,3e-04
"23624",1845000,694000,0.0071,2e-07,0.00245,0.6224,0.03635,2e-07,5e-04,2e-07,0.0033,2e-07,0.2027,0.0011,0.0012,0.07675,6e-04,2e-04,0.00205,2e-07,3e-04,1e-04,2e-07,2e-07,3e-04
"23625",1853000,694000,0.0119,2e-07,0.0147,0.3723,0.0506,1e-04,0.0065,2e-07,0.01115,2e-07,0.3047,0.00865,0.00215,0.1544,0.0045,8e-04,0.00215,2e-07,0.0029,6e-04,2e-07,2e-07,0.0017
"23626",1861000,694000,0.01965,2e-07,0.00455,0.0101,0.01185,1e-04,0.06335,2e-07,0.00965,2e-07,0.03505,0.0216,0.0031,0.05955,0.47165,0.0539,0.0607,0.00065,0.004,0.0019,2e-04,2e-07,0.0125
"23627",1869000,694000,0.0139,2e-07,0.00215,9e-04,0.00425,1e-04,0.0337,2e-07,0.00455,2e-07,0.01025,0.0266,0.0013,0.0194,0.5673,0.15605,0.014,4e-04,0.0021,0.0011,1e-04,2e-07,0.02035
"23628",1877000,694000,0.01365,2e-07,0.0016,0.00025,0.00455,2e-07,0.02705,2e-07,0.0031,2e-07,0.00825,0.0396,5e-04,0.01195,0.5423,0.31075,0.0036,2e-04,0.0011,2e-04,2e-07,2e-07,0.0125
"23629",1885000,694000,0.0149,5e-04,0.0026,2e-04,0.01335,1e-04,0.11725,2e-07,0.0038,2e-07,7e-04,0.07545,0.00105,0.03105,0.53565,0.19305,0.0026,0.0031,8e-04,3e-04,2e-07,2e-07,0.0114
"23630",1893000,694000,0.02135,2e-07,0.00855,0.0014,0.01475,0.00065,0.02475,2e-07,0.00385,2e-07,0.0059,0.0201,0.00195,0.01835,0.2798,0.5316,7e-04,0.01205,9e-04,7e-04,1e-04,2e-07,0.00675
"23631",1901000,694000,0.0155,2e-07,0.00215,3e-04,0.01,2e-04,0.0148,2e-07,0.0018,2e-07,0.0025,0.01735,2e-04,0.01325,0.2112,0.60835,0.0018,4e-04,1e-04,5e-04,2e-07,2e-07,0.00425
"23632",1909000,694000,0.0103,2e-07,8e-04,1e-04,0.00485,2e-04,0.01895,2e-07,0.0018,2e-07,0.0016,0.04235,1e-04,0.01965,0.6925,0.1155,0.00565,2e-07,2e-07,4e-04,2e-07,2e-07,0.0069
