"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"170";40,394;8,278;5,776;3,872;9,753;8,553;7,365;0;14,012;1,998;0
"171";0;8,488;5,011;3,506;25,981;2,036;7,287;0;46,38;1,311;0
"172";2,055;6,648;44,632;3,318;8,821;8,292;9,73;0;13,025;3,479;0
"173";2,906;10,801;7,279;2,177;27,315;17,712;7,187;0;23,454;1,168;0
"174";10,372;3,674;18,094;2,705;9,327;5,198;23,374;0;22,772;4,483;0
"175";3,431;3,27;13,792;1,566;4,902;7,001;34,491;0;30,718;0,829;0
"176";1,345;14,019;6,088;2,835;11,541;5,737;18,745;0;19,943;19,748;0
"177";4,709;14,433;12,036;1,883;19,48;8,154;12,295;0;25,798;1,212;0
"178";2,375;10,692;20,832;2,885;9,512;3,778;27,799;0;19,494;2,632;0
"179";1,141;1,144;1,15;1,87;1,762;3,121;1,056;0;4,024;84,732;0
"180";2,007;28,307;5,838;2,155;10,84;8,578;9,171;0;31,064;2,039;0
"181";0;3,205;79,138;2,154;2,495;2,772;4,253;0;5,573;0,409;0
"182";13,682;31,886;10,878;2,592;7,296;2,195;7,411;0;21,414;2,646;0
"183";0;7,816;14,999;1,802;18,686;7,557;36,66;0;11,344;1,136;0
"184";3,742;2,3;50,174;9,275;7,68;1,744;7,63;0;14,735;2,72;0
"185";3,04;12,302;7,622;2,475;28,767;1,153;12,906;0;28,003;3,732;0
"186";15,899;4,842;6,513;3,618;9,329;6,485;26,508;0;25,585;1,22;0
"187";3,178;18,632;9,103;5,561;10,091;4,037;21,9;0;25,981;1,518;0
"188";1,048;9,138;0,871;0,828;0,772;74,351;2,747;0;4,509;5,736;0
"189";5,101;6,506;8,349;4,037;9,743;11,325;16,691;0;36,324;1,924;0
"190";0,636;2,047;4,533;0,498;1,585;81,278;2,098;0;6,748;0,576;0
"191";2,56;48,173;2,652;1,4;6,706;6,078;6,948;0;17,748;7,735;0
"192";2,428;17,28;4,5;1,432;13,244;0;20,967;0;39,452;0,698;0
"193";1,24;4,626;9,526;1,408;4,741;2,615;6,075;0;67,763;2,007;0
"194";0;6,738;11,149;3,373;8,347;7,178;9,801;0;49,39;4,025;0
"195";4,556;3,498;8,527;7,695;8,173;6,735;11,049;0;48,09;1,676;0
"196";0;8,341;4,869;1,956;14,722;42,398;9,91;0;15,942;1,863;0
"197";0,857;8,705;2,826;1,01;2,018;75,202;2,809;0;5,952;0,622;0
"198";1,296;4,75;8,021;1,843;6,389;1,11;29,459;0;46,114;1,018;0
"199";5,408;5,784;10,654;4,045;25,074;3,259;22,319;0;20,504;2,954;0
"200";10,687;19,394;14,428;6,413;3,765;16,616;8,194;0;16,463;4,039;0
"201";0;9,649;13,312;7,927;6,151;8,171;9,986;0;43,669;1,136;0
"202";0,47;4,941;35,555;1,874;5,677;1,181;29,725;0;17,209;3,368;0
"203";4,411;6,445;29,92;4,242;6,244;7,833;19,769;0;17,277;3,859;0
"204";1,368;8,977;3,296;0,914;37,577;4,598;25,304;0;17,026;0,94;0
"205";12,874;35,369;10,246;3,636;2,758;3,967;10,655;0;16,207;4,288;0
"206";1,922;0,455;1,411;0,187;0,656;0,472;2,545;0;92,147;0,205;0
"207";3,261;5,926;13,927;2,233;6,536;6,993;18,302;0;37,541;5,28;0
"208";0,813;37,216;8,32;2,474;7,578;7,338;8,259;0;22,032;5,97;0
"209";0;43,957;5,95;2,425;5,423;4,915;9,181;0;23,558;4,591;0
"210";2,422;10,628;6,828;11,006;17,673;3,468;13,409;0;31,308;3,259;0
"211";0;9,642;31,602;4,668;8,481;7,274;9,165;0;24,66;4,508;0
"212";2,411;37,416;7,66;2,893;5,559;4,79;12,641;0;24,125;2,504;0
"213";0,474;2,69;3,119;12,777;3,968;4,667;7,811;0;63,73;0,764;0
"214";2,97;75,636;0,611;0,15;1,248;0,401;16,665;0;2,15;0,169;0
"215";3,768;12,865;13,614;22,058;3,913;11,942;7,665;0;18,615;5,56;0
"216";0;46,328;10,289;4,445;3,61;9,357;6,71;0;17,357;1,903;0
"217";1,876;13,968;16,852;2,922;9,878;18,48;11,073;0;22,438;2,512;0
"218";1,313;4,716;49,113;6,868;4,352;4,269;4,832;0;22,586;1,951;0
"219";17,183;9,335;15,54;1,698;5,135;2,572;15,983;0;28,355;4,199;0
"220";3,033;7,268;17,2;7,048;9,363;6,719;19,469;0;28,079;1,821;0
"221";1,859;2,973;8,34;2,932;8,086;40,633;18,443;0;15,332;1,401;0
"222";3,223;6,989;13,475;9,614;11,904;12,633;11,199;0;26,824;4,14;0
"223";1,079;4,199;67,526;1,223;2,236;7,266;3,345;0;12,173;0,954;0
"224";1,53;10,404;16,4;2,311;27,507;1,462;14,103;0;25,069;1,215;0
"225";0;3,104;2,585;0,828;3,271;4,685;5,021;0;79,301;1,206;0
"226";1,647;3,243;2,009;38,122;2,694;1,872;3,504;0;8,267;38,643;0
"227";11,813;4,769;8,914;7,954;10,017;4,947;9,796;0;34,531;7,259;0
"228";1,838;6,663;6,141;0,81;3,335;2,977;37,446;0;40,22;0,57;0
"229";0,524;63,75;2,325;3,843;1,969;1,575;4,109;0;19,279;2,627;0
"230";2,583;16,307;8,394;3,013;6,375;2,081;12,898;0;13,19;35,158;0
"231";11,804;7,895;50,876;3,442;4,59;4,227;9,247;0;7,051;0,867;0
"232";0,015;23,606;0,111;2,388;0,058;0,035;0,076;0;73,697;0,014;0
"233";9,61;11,605;6,954;3,612;3,657;4,727;40,595;0;18,119;1,121;0
"234";10,256;34,69;23,041;2,57;7,239;0,741;4,218;0;15,924;1,321;0
"235";35,538;5,919;9,949;2,005;12,324;5,36;9,064;0;17,543;2,298;0
"236";0,55;1,569;1,96;0,793;1,626;39,168;6,171;0;47,717;0,446;0
"237";2,211;8,198;4,824;41,998;2,742;4,341;20,621;0;14,391;0,673;0
